Date,GSS,assets_in_composite
2001-01-10,,5
2001-01-11,,5
2001-01-12,,5
2001-01-15,,2
2001-01-16,,5
2001-01-17,,5
2001-01-18,,5
2001-01-19,,5
2001-01-22,,5
2001-01-23,,5
2001-01-24,,5
2001-01-25,,5
2001-01-26,,5
2001-01-29,,5
2001-01-30,,5
2001-01-31,,5
2001-02-01,,5
2001-02-02,,5
2001-02-05,,5
2001-02-06,,5
2001-02-07,,5
2001-02-08,,5
2001-02-09,,5
2001-02-12,,5
2001-02-13,,5
2001-02-14,,5
2001-02-15,,5
2001-02-16,,5
2001-02-19,,2
2001-02-20,,5
2001-02-21,,5
2001-02-22,,5
2001-02-23,,5
2001-02-26,,5
2001-02-27,,5
2001-02-28,,5
2001-03-01,,5
2001-03-02,,5
2001-03-05,,5
2001-03-06,,5
2001-03-07,,5
2001-03-08,,5
2001-03-09,,5
2001-03-12,,5
2001-03-13,,5
2001-03-14,,5
2001-03-15,,5
2001-03-16,,5
2001-03-19,,5
2001-03-20,,5
2001-03-21,,5
2001-03-22,,5
2001-03-23,,5
2001-03-26,,5
2001-03-27,,5
2001-03-28,,5
2001-03-29,,5
2001-03-30,,5
2001-04-02,,5
2001-04-03,,5
2001-04-04,,5
2001-04-05,,5
2001-04-06,,5
2001-04-09,,5
2001-04-10,,5
2001-04-11,,5
2001-04-12,,5
2001-04-13,,1
2001-04-16,,5
2001-04-17,,5
2001-04-18,,5
2001-04-19,,5
2001-04-20,,5
2001-04-23,,5
2001-04-24,,5
2001-04-25,,5
2001-04-26,,5
2001-04-27,,5
2001-04-30,,5
2001-05-01,,5
2001-05-02,,5
2001-05-03,,5
2001-05-04,,5
2001-05-07,,5
2001-05-08,,5
2001-05-09,,5
2001-05-10,,5
2001-05-11,,5
2001-05-14,,5
2001-05-15,,5
2001-05-16,,5
2001-05-17,,5
2001-05-18,,5
2001-05-21,,5
2001-05-22,,5
2001-05-23,,5
2001-05-24,,5
2001-05-25,,5
2001-05-28,,1
2001-05-29,,5
2001-05-30,,5
2001-05-31,,5
2001-06-01,,5
2001-06-04,,5
2001-06-05,,5
2001-06-06,,5
2001-06-07,,5
2001-06-08,,5
2001-06-11,,5
2001-06-12,,5
2001-06-13,,5
2001-06-14,,5
2001-06-15,,5
2001-06-18,,5
2001-06-19,,5
2001-06-20,,5
2001-06-21,,5
2001-06-22,,5
2001-06-25,,5
2001-06-26,,5
2001-06-27,,5
2001-06-28,,5
2001-06-29,,5
2001-07-02,,5
2001-07-03,,5
2001-07-04,,2
2001-07-05,,5
2001-07-06,,5
2001-07-09,,5
2001-07-10,,5
2001-07-11,,5
2001-07-12,,5
2001-07-13,,5
2001-07-16,,5
2001-07-17,,5
2001-07-18,,5
2001-07-19,,5
2001-07-20,,5
2001-07-23,,5
2001-07-24,,5
2001-07-25,,5
2001-07-26,,5
2001-07-27,,5
2001-07-30,,5
2001-07-31,,5
2001-08-01,,5
2001-08-02,,5
2001-08-03,,5
2001-08-06,,5
2001-08-07,,5
2001-08-08,,5
2001-08-09,,5
2001-08-10,,5
2001-08-13,,5
2001-08-14,,5
2001-08-15,,5
2001-08-16,,5
2001-08-17,,5
2001-08-20,,5
2001-08-21,,5
2001-08-22,,5
2001-08-23,,5
2001-08-24,-0.4563228234213212,6
2001-08-27,-0.19747048211577592,6
2001-08-28,0.4425019777857109,6
2001-08-29,0.2671595641627786,6
2001-08-30,0.09778169957357565,6
2001-08-31,0.22253186027879016,7
2001-09-03,,2
2001-09-04,-0.28292443388176614,7
2001-09-05,-0.1149328044352849,7
2001-09-06,0.7189618494394562,7
2001-09-07,0.6972278245792862,7
2001-09-10,-0.1279592271656364,7
2001-09-11,,1
2001-09-12,,1
2001-09-13,,1
2001-09-14,,3
2001-09-17,0.9407528368523108,7
2001-09-18,0.13783319367993438,7
2001-09-19,0.6831161855762351,7
2001-09-20,0.9635202199897346,7
2001-09-21,1.1515299024334895,7
2001-09-24,-1.1408644117324702,7
2001-09-25,0.14760465697299188,7
2001-09-26,0.7688405168731316,7
2001-09-27,0.20603357174727518,7
2001-09-28,0.30177504617883255,7
2001-10-01,0.031672840255689984,7
2001-10-02,-0.13980723485884597,7
2001-10-03,0.09707782368350312,7
2001-10-04,0.20025542992868722,7
2001-10-05,0.18423214254273582,7
2001-10-08,0.5228052815340908,7
2001-10-09,0.05985392015958841,7
2001-10-10,-0.16932757593908648,7
2001-10-11,-0.21904029188963775,7
2001-10-12,0.2509595715984791,7
2001-10-15,0.31019244347106784,7
2001-10-16,0.13527174784812204,7
2001-10-17,0.6178627956338824,7
2001-10-18,0.018020974902861798,7
2001-10-19,0.40523035831465914,7
2001-10-22,-0.25527890434427986,7
2001-10-23,0.2135809326373253,7
2001-10-24,0.297169546326611,7
2001-10-25,0.09914270959604884,7
2001-10-26,0.16063822264690364,7
2001-10-29,0.5229315960640656,7
2001-10-30,0.4959770238832172,7
2001-10-31,0.45160585465831177,7
2001-11-01,-0.12680905888269695,7
2001-11-02,-0.2249356476009036,7
2001-11-05,0.01637554986602965,7
2001-11-06,0.17414172567988992,7
2001-11-07,0.4608572608494623,7
2001-11-08,0.06070791400057079,7
2001-11-09,0.2910718005540419,7
2001-11-12,-0.12251759531142725,7
2001-11-13,-0.1600179079996249,7
2001-11-14,-0.9492548640870818,7
2001-11-15,-1.4105153696675283,7
2001-11-16,-0.3037612658826049,7
2001-11-19,0.011380784015512192,7
2001-11-20,0.2221441537029519,7
2001-11-21,-0.2609641634374538,7
2001-11-22,,2
2001-11-23,,5
2001-11-26,-0.2625382753190441,7
2001-11-27,0.36534712844893397,7
2001-11-28,0.1649261493176945,7
2001-11-29,-0.0608033481640773,7
2001-11-30,0.3077534225222278,7
2001-12-03,0.3232465022585139,7
2001-12-04,-0.20733652523184665,7
2001-12-05,-0.9344055640632319,7
2001-12-06,-0.7115615359868318,7
2001-12-07,-0.21157648213928276,7
2001-12-10,-0.1474983993474354,7
2001-12-11,0.025808093979531092,7
2001-12-12,0.1747112869221044,7
2001-12-13,-0.061311591448489224,7
2001-12-14,-0.06951643017430682,7
2001-12-17,-0.4524749832583733,7
2001-12-18,0.24814170192599663,7
2001-12-19,-0.06276419416707778,7
2001-12-20,-0.22746164475899572,7
2001-12-21,0.26919138710529994,7
2001-12-24,,5
2001-12-25,,1
2001-12-26,0.18750792349553483,7
2001-12-27,-0.40036654432312996,7
2001-12-28,-0.29977617759217173,7
2001-12-31,-0.040401829171963666,7
2002-01-01,,1
2002-01-02,-0.338793515785858,7
2002-01-03,-0.1995340681920116,7
2002-01-04,0.2564903182497212,7
2002-01-07,0.027912740147109705,7
2002-01-08,-0.2868131663807151,7
2002-01-09,-0.03344767028494418,7
2002-01-10,0.4497568215073203,7
2002-01-11,0.007900887694929252,7
2002-01-14,-0.22469980897147288,7
2002-01-15,0.09130936319142123,7
2002-01-16,0.14111904586145158,7
2002-01-17,-0.7668933352629325,7
2002-01-18,-0.07548985718163602,7
2002-01-21,,2
2002-01-22,-0.020107134736367684,7
2002-01-23,-0.29926036690415614,7
2002-01-24,-0.20401470491933177,7
2002-01-25,0.218142767355638,7
2002-01-28,0.06413492395804213,7
2002-01-29,0.4592317409310761,7
2002-01-30,-0.14873124757859557,7
2002-01-31,-0.5441655265648887,7
2002-02-01,0.6918608674728464,7
2002-02-04,0.48207329290735174,7
2002-02-05,0.23288050718217163,7
2002-02-06,-0.040414800783400144,7
2002-02-07,-0.004774014868190505,7
2002-02-08,0.0661746345756293,7
2002-02-11,-0.11173849590799668,7
2002-02-12,-0.2615400205258812,7
2002-02-13,-0.20787502115568418,7
2002-02-14,0.10487000794556788,7
2002-02-15,0.17109390559293983,7
2002-02-18,,2
2002-02-19,-0.5136137971704998,7
2002-02-20,-0.35299361484867714,7
2002-02-21,0.36090719775906793,7
2002-02-22,-0.22592782849085863,7
2002-02-25,-0.3431893476318299,7
2002-02-26,0.29211520887203374,7
2002-02-27,-0.09963117039662772,7
2002-02-28,0.06748292652620767,7
2002-03-01,-0.38702863117455377,7
2002-03-04,-0.3561870651867874,7
2002-03-05,-0.19553481313058826,7
2002-03-06,-0.2724895030890033,7
2002-03-07,-0.2660037328929776,7
2002-03-08,-0.32303845735016673,7
2002-03-11,-0.020652343812310466,7
2002-03-12,-0.18262240951251504,7
2002-03-13,-0.006428712743628519,7
2002-03-14,-0.6181472047029924,7
2002-03-15,-0.30322735302848114,7
2002-03-18,-0.13606751819606805,7
2002-03-19,-0.4336983654006916,7
2002-03-20,-0.1811611013899128,7
2002-03-21,-0.02462427789213271,7
2002-03-22,-0.007085230471854402,7
2002-03-25,-0.154575204037213,7
2002-03-26,-0.03306804870909103,7
2002-03-27,0.2771590937648205,7
2002-03-28,-0.274784250467814,7
2002-03-29,,1
2002-04-01,-0.3723668327016954,7
2002-04-02,0.4532106284947907,7
2002-04-03,-0.07285642758695214,7
2002-04-04,-0.22886529500178696,7
2002-04-05,-0.06432823125734537,7
2002-04-08,0.001253568997582305,7
2002-04-09,-0.2511129992909297,7
2002-04-10,-0.1686546564166748,7
2002-04-11,-0.1740618049431062,7
2002-04-12,-0.432405933547278,7
2002-04-15,0.0992761925406849,7
2002-04-16,-0.46648826954159184,7
2002-04-17,0.03654538375663648,7
2002-04-18,0.11118249519633079,7
2002-04-19,-0.27152611445125213,7
2002-04-22,0.18691054935588355,7
2002-04-23,0.08746617672882177,7
2002-04-24,0.11234020135176,7
2002-04-25,0.147315191605338,7
2002-04-26,0.48576895904324485,7
2002-04-29,-0.021123576647322024,7
2002-04-30,-0.3391809588436287,7
2002-05-01,-0.19467007669819789,7
2002-05-02,-0.3205437724091489,7
2002-05-03,0.17145041764395894,7
2002-05-06,-0.04760093025552852,7
2002-05-07,-0.015770411434892915,7
2002-05-08,-0.6673432613133982,7
2002-05-09,0.17454813460405602,7
2002-05-10,0.3910610999737315,7
2002-05-13,-0.41594927508921437,7
2002-05-14,-0.4398581512819582,7
2002-05-15,-0.20438517603894144,7
2002-05-16,-0.16608448382260485,7
2002-05-17,-0.20476569991989768,7
2002-05-20,0.4312947513691997,7
2002-05-21,0.09932236491786842,7
2002-05-22,-0.23235341215879876,7
2002-05-23,-0.24391400442246436,7
2002-05-24,-0.06040926224209819,7
2002-05-27,,2
2002-05-28,-0.1462277342153986,7
2002-05-29,0.1381330458757664,7
2002-05-30,-0.06423897962571659,7
2002-05-31,0.061163612675131866,7
2002-06-03,0.19488724445064506,7
2002-06-04,-0.023959768238276186,7
2002-06-05,-0.5372838271113126,7
2002-06-06,0.36070417419767736,7
2002-06-07,-0.1624062023399966,7
2002-06-10,-0.4417226939392913,7
2002-06-11,0.14312185804179992,7
2002-06-12,0.14125735538538775,7
2002-06-13,0.4619392680116422,7
2002-06-14,0.47026698170222214,7
2002-06-17,-0.49024676940617545,7
2002-06-18,-0.22418804143579713,7
2002-06-19,0.46952459558256393,7
2002-06-20,0.13849701363112848,7
2002-06-21,0.7960079545969939,7
2002-06-24,-0.14363816071154112,7
2002-06-25,-0.029511920478295223,7
2002-06-26,0.4903742991125749,7
2002-06-27,-0.4136129687302634,7
2002-06-28,-0.3587527469971004,7
2002-07-01,0.42839489364768246,7
2002-07-02,0.5026769991659069,7
2002-07-03,0.0545578669823711,7
2002-07-04,,2
2002-07-05,,5
2002-07-08,0.2562664048046562,7
2002-07-09,0.7216056567097195,7
2002-07-10,1.0733469120560475,7
2002-07-11,0.4359269786262718,7
2002-07-12,0.4647688054593737,7
2002-07-15,0.17249716021060227,7
2002-07-16,0.32807210616777255,7
2002-07-17,0.24347776836405424,7
2002-07-18,0.5829127078183866,7
2002-07-19,1.2784465069210942,7
2002-07-22,0.8694726389851286,7
2002-07-23,0.6172736805931586,7
2002-07-24,-0.3270791374014857,7
2002-07-25,0.2165245907234432,7
2002-07-26,-0.28985484537862327,7
2002-07-29,-0.8922486830540354,7
2002-07-30,0.021652369791222124,7
2002-07-31,0.47365177947636644,7
2002-08-01,0.6604972331294682,7
2002-08-02,1.1380578958032366,7
2002-08-05,0.8197338350000036,7
2002-08-06,-0.14057722636438516,7
2002-08-07,0.49658442311998174,7
2002-08-08,-0.48980550883650853,7
2002-08-09,0.7284784415564901,7
2002-08-12,0.6631803888490603,7
2002-08-13,0.7348931981361394,7
2002-08-14,-0.08206252624429647,7
2002-08-15,-0.05315538960355034,7
2002-08-16,-0.31909330051156254,7
2002-08-19,-0.39059233144853966,7
2002-08-20,0.5902077208203715,7
2002-08-21,-0.3675269588097026,7
2002-08-22,-0.45660407070265113,7
2002-08-23,0.3957658220079914,7
2002-08-26,0.22534155092248534,7
2002-08-27,0.12973687024941213,7
2002-08-28,0.14946037890731148,7
2002-08-29,0.609413475659562,7
2002-08-30,0.2091423797035154,7
2002-09-02,,1
2002-09-03,0.6662739986957236,7
2002-09-04,0.28329813897298867,7
2002-09-05,0.6606858583379894,7
2002-09-06,0.15820561344323364,7
2002-09-09,0.14355321446159927,7
2002-09-10,0.16076516126184917,7
2002-09-11,-0.2868725206315273,7
2002-09-12,0.5205856082640608,7
2002-09-13,0.3010165957533323,7
2002-09-16,0.1619436919559029,7
2002-09-17,0.40795007734573907,7
2002-09-18,0.5053426369664605,7
2002-09-19,0.6392181458874819,7
2002-09-20,0.04578282149371545,7
2002-09-23,0.8234363454854104,7
2002-09-24,0.7103822262239783,7
2002-09-25,-0.32276772703979006,7
2002-09-26,-0.08988559473076894,7
2002-09-27,0.5705639543488099,7
2002-09-30,0.7677611074898021,7
2002-10-01,-0.6617801813728649,7
2002-10-02,0.38090917468921515,7
2002-10-03,0.21269004599197125,7
2002-10-04,0.50360582640223,7
2002-10-07,0.3930254815069884,7
2002-10-08,0.06417873472238239,7
2002-10-09,0.635756379021484,7
2002-10-10,-0.5928386979826147,7
2002-10-11,-0.5902577682930052,7
2002-10-14,0.22333739887122375,7
2002-10-15,-0.9385810553252183,7
2002-10-16,0.31512754898302353,7
2002-10-17,-0.2973901491769865,7
2002-10-18,0.10719611346165207,7
2002-10-21,-0.5161187691876591,7
2002-10-22,0.05806421880594691,7
2002-10-23,0.22250694950428324,7
2002-10-24,0.3500936633177724,7
2002-10-25,0.015375143716298223,7
2002-10-28,0.2458541244665087,7
2002-10-29,0.6239431040034972,7
2002-10-30,-0.14805424134370265,7
2002-10-31,0.3795334050338056,7
2002-11-01,-0.33553567058595485,7
2002-11-04,-0.2191322442960927,7
2002-11-05,-0.292343811584232,7
2002-11-06,-0.016493511456785286,7
2002-11-07,0.6154815852486758,7
2002-11-08,0.449445546003758,7
2002-11-11,0.3224342288742644,7
2002-11-12,0.1983841240755043,7
2002-11-13,-0.31610328665014276,7
2002-11-14,-0.7033920800143713,7
2002-11-15,0.035983324617910886,7
2002-11-18,0.2956312786741841,7
2002-11-19,-0.0905675337747321,7
2002-11-20,-0.43165856633237504,7
2002-11-21,-0.5678773777107541,7
2002-11-22,0.16149586634329088,7
2002-11-25,-0.1359917787948744,7
2002-11-26,0.5309444721742089,7
2002-11-27,-0.6847594177765391,7
2002-11-28,,2
2002-11-29,,5
2002-12-02,-0.2640466298292134,7
2002-12-03,0.29963928275052626,7
2002-12-04,0.03688311566574135,7
2002-12-05,0.4768912939408567,7
2002-12-06,0.013837998170553392,7
2002-12-09,0.38421480173028233,7
2002-12-10,-0.19241072995099137,7
2002-12-11,0.1236142849120492,7
2002-12-12,0.43693872507658565,7
2002-12-13,0.42240414328847814,7
2002-12-16,-0.001703482977140228,7
2002-12-17,-0.13432885790227841,7
2002-12-18,0.7566809443450965,7
2002-12-19,0.5334627644847182,7
2002-12-20,-0.45670307314825304,7
2002-12-23,0.4725759204911489,7
2002-12-24,0.10252942295089383,7
2002-12-25,,1
2002-12-26,0.17631637329444255,7
2002-12-27,0.3550016469709928,7
2002-12-30,-0.3614717268405574,7
2002-12-31,-0.017787617729307623,7
2003-01-01,,1
2003-01-02,-0.7626060867093142,7
2003-01-03,0.34857044252402697,7
2003-01-06,-0.6040444884350867,7
2003-01-07,-0.3382834524110555,7
2003-01-08,0.3537967915985769,7
2003-01-09,-0.39002950901858646,7
2003-01-10,-0.3091245131375124,7
2003-01-13,0.19472341029417048,7
2003-01-14,0.012461537037355181,7
2003-01-15,0.20871029196709176,7
2003-01-16,0.2708002536674464,7
2003-01-17,0.10146264622049253,7
2003-01-20,,1
2003-01-21,0.20614181117305483,7
2003-01-22,-0.034037211608173,7
2003-01-23,-0.1537223061817903,7
2003-01-24,0.6426905741900429,7
2003-01-27,-0.16370264865135686,7
2003-01-28,0.040063686873838544,7
2003-01-29,-0.1607150078639281,7
2003-01-30,0.4686931230957338,7
2003-01-31,-0.17975175429135298,7
2003-02-03,-0.1744838133908331,7
2003-02-04,0.7138166186462778,7
2003-02-05,0.015455607990001936,7
2003-02-06,0.02853512512336057,7
2003-02-07,0.37817990440867055,7
2003-02-10,-0.4770974521381635,7
2003-02-11,0.422077756021222,7
2003-02-12,-0.1043789057050363,7
2003-02-13,0.44292396199642753,7
2003-02-14,-0.3305737676162573,7
2003-02-17,,1
2003-02-18,-0.061834429641497844,7
2003-02-19,0.4597599213221953,7
2003-02-20,0.20802997455623787,7
2003-02-21,-0.3953406397806248,7
2003-02-24,0.6609385799897084,7
2003-02-25,0.003072916810216375,7
2003-02-26,0.6423835175929062,7
2003-02-27,-0.5526366730424391,7
2003-02-28,0.049409287681234995,7
2003-03-03,-0.15325732473863743,7
2003-03-04,0.7338073846269814,7
2003-03-05,-0.3548570305100287,7
2003-03-06,0.25073865369012055,7
2003-03-07,-0.11913284641808046,7
2003-03-10,0.4569817724172053,7
2003-03-11,-0.19778955498447498,7
2003-03-12,0.023296620150222887,7
2003-03-13,-1.2431540700652148,7
2003-03-14,0.1739012290959197,7
2003-03-17,-0.48087855638218746,7
2003-03-18,-0.7421496150521886,7
2003-03-19,-0.7338533674744733,7
2003-03-20,-0.6984153320800199,7
2003-03-21,-1.1260797445910165,7
2003-03-24,1.021827173852385,7
2003-03-25,-0.17788095294581935,7
2003-03-26,0.1849539208563262,7
2003-03-27,0.319688395152293,7
2003-03-28,-0.1324108634421137,7
2003-03-31,0.8842626386172918,7
2003-04-01,-0.40534647123654466,7
2003-04-02,-0.9783019968567557,7
2003-04-03,0.07109219085853338,7
2003-04-04,-0.3858753190701597,7
2003-04-07,-0.3388786560578764,7
2003-04-08,0.04467580555489399,7
2003-04-09,0.27784632136764315,7
2003-04-10,-0.47427476846355676,7
2003-04-11,-0.10530436967924503,7
2003-04-14,-0.4917373396463248,7
2003-04-15,-0.020670301449933252,7
2003-04-16,-0.05204878821710552,7
2003-04-17,0.017480424433400612,7
2003-04-18,,1
2003-04-21,0.04139528861525802,7
2003-04-22,-0.694746760367594,7
2003-04-23,-1.2185302764617312,7
2003-04-24,0.17869212884063115,7
2003-04-25,-0.2974961312033781,7
2003-04-28,-0.510258452833418,7
2003-04-29,-0.47665564151091916,7
2003-04-30,0.288608203078448,7
2003-05-01,-0.08912543009492445,7
2003-05-02,-0.7196310248237597,7
2003-05-05,0.11750011627657246,7
2003-05-06,-0.4116020252802891,7
2003-05-07,0.4933176160268694,7
2003-05-08,0.023904576286347394,7
2003-05-09,-0.2941168172323095,7
2003-05-12,-0.25270212510876483,7
2003-05-13,0.09548284773391542,7
2003-05-14,0.2914712730861449,7
2003-05-15,-0.2626031842623652,7
2003-05-16,-0.17403850988212938,7
2003-05-19,-0.009605957565997756,7
2003-05-20,0.08968951105393895,7
2003-05-21,-0.24646370581819246,7
2003-05-22,-0.3153073570668359,7
2003-05-23,-0.27832883796016306,7
2003-05-26,,1
2003-05-27,-0.7877968963297025,7
2003-05-28,-0.649021370208083,7
2003-05-29,0.14991113802157827,7
2003-05-30,-0.5859241551001944,7
2003-06-02,-0.018368218608440495,7
2003-06-03,-0.1395115301033176,7
2003-06-04,-0.33231001668993354,7
2003-06-05,-0.13208508878829278,7
2003-06-06,-0.23448501752065803,7
2003-06-09,0.08087845796721356,7
2003-06-10,-0.22871118835558432,7
2003-06-11,-0.2636883375328906,7
2003-06-12,-0.4451618698084699,7
2003-06-13,-0.1608946700198636,7
2003-06-16,-0.40171768720186307,7
2003-06-17,-0.38893908957736895,7
2003-06-18,-0.6401284722303237,7
2003-06-19,-0.09454454136669713,7
2003-06-20,-0.13557962892487416,7
2003-06-23,-0.20673701752738463,7
2003-06-24,-0.4011755939251801,7
2003-06-25,-0.10636343649880384,7
2003-06-26,-1.181452253393332,7
2003-06-27,-0.16679879193325892,7
2003-06-30,-0.030135855956512303,7
2003-07-01,-0.12434257450862825,7
2003-07-02,-0.18003273405958756,7
2003-07-03,-0.30850928358449525,7
2003-07-04,,2
2003-07-07,-0.32614890939099184,7
2003-07-08,-0.3944882465173715,7
2003-07-09,0.00879826492892293,7
2003-07-10,-0.009434395895229344,7
2003-07-11,-0.10682089040010637,7
2003-07-14,-0.1903985552514919,7
2003-07-15,-0.8015345434675601,7
2003-07-16,-0.12278865826911514,7
2003-07-17,-0.12624049841524937,7
2003-07-18,-0.033918252867138406,7
2003-07-21,-0.610807709205254,7
2003-07-22,-0.565004077491454,7
2003-07-23,-0.1266332105210275,7
2003-07-24,-0.10687988436641846,7
2003-07-25,-0.47563983784016806,7
2003-07-28,-0.43946893794330094,7
2003-07-29,-0.4552375312298668,7
2003-07-30,-0.0412739167901872,7
2003-07-31,-0.42906340072903826,7
2003-08-01,0.09743649058737992,7
2003-08-04,-0.14152521061596804,7
2003-08-05,0.013785934546546657,7
2003-08-06,0.029200242218300216,7
2003-08-07,0.18898172280091322,7
2003-08-08,-0.025125704882812676,7
2003-08-11,-0.20467030652264742,7
2003-08-12,-0.3630793753419764,7
2003-08-13,-0.6871502931911654,7
2003-08-14,0.11700891221089539,7
2003-08-15,-0.26330900144634134,7
2003-08-18,-0.26179705426597905,7
2003-08-19,0.20727887597413067,7
2003-08-20,0.05066576465806379,7
2003-08-21,0.06465918000210598,7
2003-08-22,0.2354519041173552,7
2003-08-25,-0.3566893290271507,7
2003-08-26,0.08760248114739573,7
2003-08-27,-0.11329724167646613,7
2003-08-28,-0.09054422315395026,7
2003-08-29,-0.19067367779287084,7
2003-09-01,,2
2003-09-02,-0.756406305651254,7
2003-09-03,-0.10026637306374346,7
2003-09-04,-0.5634843747226103,7
2003-09-05,-0.0037931197017222673,7
2003-09-08,-0.3797045906613861,7
2003-09-09,-0.005247020323564222,7
2003-09-10,0.0981498567227622,7
2003-09-11,-0.4315429855504556,7
2003-09-12,-0.5393468387844866,7
